"","names","interval","lower","upper"
"211","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"212","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"213","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"214","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"215","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"216","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"217","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"218","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"219","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"220","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"221","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"222","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"223","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"224","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"225","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"226","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"227","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"228","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"229","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"230","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"231","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"232","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"233","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"234","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"235","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"236","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"237","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"238","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
